Data File Name,2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-16-28.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\bef\2012-01-05
Date Created,"Thursday, January 05, 2012 5:16:28 PM"
Date Last Modified,"Thursday, January 05, 2012 5:39:32 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Sample 12
Number of Events,1060
 
Time,Value
17,3.854445E-02
17.05,3.640175E-02
17.1,5.215226E-03
17.15,-6.954956E-03
17.2,-6.563658E-03
17.25,6.16079E-03
17.3,1.465988E-02
17.35,8.450188E-03
17.4,1.218217E-02
17.45,4.609525E-03
17.5,-3.662109E-04
17.55,3.014023E-02
17.6,2.965063E-02
17.65,3.096436E-02
17.7,0.0306431
17.75,3.099327E-02
17.8,1.236069E-02
17.85,1.240035E-02
17.9,1.926666E-02
17.95,0.0277637
18,3.794861E-02
18.05,5.057152E-02
18.1,4.455777E-02
18.15,4.312302E-02
18.2,2.959087E-02
18.25,2.695122E-02
18.3,0.0206662
18.35,1.267908E-02
18.4,2.164002E-03
18.45,-1.096118E-02
18.5,-9.537046E-03
18.55,4.633026E-03
18.6,7.08065E-03
18.65,-4.008026E-03
18.7,-0.0222399
18.75,-0.0317174
18.8,-3.938217E-02
18.85,-4.145232E-02
18.9,-2.909576E-02
18.95,-7.096607E-03
19,1.137412E-02
19.05,1.867111E-02
19.1,1.092663E-02
19.15,-1.676743E-02
19.2,-0.0489912
19.25,-6.663831E-02
19.3,-0.0591359
19.35,-3.524326E-02
19.4,-1.940205E-02
19.45,-2.73315E-03
19.5,6.362203E-03
19.55,3.18367E-03
19.6,-1.320292E-02
19.65,-1.489608E-02
19.7,-1.782301E-02
19.75,-2.238313E-02
19.8,-0.0164621
19.85,-5.264147E-03
19.9,-2.154818E-02
19.95,-2.429619E-02
20,-2.533722E-02
20.05,-1.424858E-02
20.1,-1.694883E-02
20.15,-3.940125E-03
20.2,7.682245E-03
20.25,6.032181E-03
20.3,0.0134816
20.35,9.316538E-03
20.4,-7.51709E-03
20.45,-2.212754E-02
20.5,-2.764824E-02
20.55,-2.973412E-02
20.6,-2.616927E-02
20.65,-1.480865E-02
20.7,-0.0102274
20.75,7.734083E-03
20.8,0.0110672
20.85,1.515579E-02
20.9,2.953049E-02
20.95,3.454617E-02
21,2.379694E-02
21.05,-5.739365E-03
21.1,-2.805949E-02
21.15,-4.193359E-02
21.2,-5.035232E-02
21.25,-4.268808E-02
21.3,-2.235092E-02
21.35,5.678202E-03
21.4,1.866071E-02
21.45,2.107557E-02
21.5,2.199475E-02
21.55,2.439293E-02
21.6,4.035119E-02
21.65,5.069379E-02
21.7,4.354291E-02
21.75,4.160045E-02
21.8,1.421219E-02
21.85,-6.129261E-03
21.9,-9.391479E-03
21.95,-1.664167E-02
22,-2.210315E-02
22.05,-0.0470491
22.1,-5.985539E-02
22.15,-7.101081E-02
22.2,-7.369146E-02
22.25,0.1882458
22.3,1.082248
22.35,2.836332
22.4,5.185946
22.45,7.348815
22.5,8.52593
22.55,8.151323
22.6,6.526717
22.65,4.319096
22.7,2.330106
22.75,0.9927056
22.8,0.3046384
22.85,5.019232E-02
22.9,9.715576E-03
22.95,2.141326E-02
23,3.993906E-02
23.05,1.409019E-02
23.1,-5.033434E-03
23.15,-1.116653E-02
23.2,3.043571E-03
23.25,3.057389E-02
23.3,5.008163E-02
23.35,5.524348E-02
23.4,4.486481E-02
23.45,2.843067E-02
23.5,2.428785E-02
23.55,4.090057E-02
23.6,4.974513E-02
23.65,5.186358E-02
23.7,4.457623E-02
23.75,3.480525E-02
23.8,0.0317305
23.85,0.0377843
23.9,6.333829E-02
23.95,8.126692E-02
24,8.395769E-02
24.05,9.271286E-02
24.1,0.1012855
24.15,0.1018696
24.2,8.134087E-02
24.25,5.870682E-02
24.3,4.397003E-02
24.35,4.033912E-02
24.4,4.473425E-02
24.45,7.016302E-02
24.5,8.557519E-02
24.55,7.662964E-02
24.6,6.658458E-02
24.65,6.161253E-02
24.7,5.886022E-02
24.75,6.142323E-02
24.8,8.342277E-02
24.85,9.400763E-02
24.9,0.1043184
24.95,0.1248308
25,0.1351507
25.05,0.1299527
25.1,0.1005606
25.15,8.812775E-02
25.2,7.237852E-02
25.25,6.300046E-02
25.3,8.035904E-02
25.35,7.063708E-02
25.4,7.405792E-02
25.45,7.965862E-02
25.5,9.546237E-02
25.55,0.1289714
25.6,0.1520416
25.65,0.1612461
25.7,0.1411074
25.75,0.1265405
25.8,0.1366228
25.85,0.1582643
25.9,0.1820583
25.95,0.1935403
26,0.1848023
26.05,0.1556572
26.1,0.1352268
26.15,0.1290958
26.2,0.1475698
26.25,0.1748184
26.3,0.187103
26.35,0.1646353
26.4,0.1121385
26.45,8.078178E-02
26.5,8.204743E-02
26.55,0.1032816
26.6,0.1286854
26.65,0.1526069
26.7,0.1652642
26.75,0.1729774
26.8,0.1938685
26.85,0.225139
26.9,0.2666149
26.95,0.288442
27,0.2995762
27.05,0.3048182
27.1,0.29561
27.15,0.2859057
27.2,0.2633732
27.25,0.2295851
27.3,0.19566
27.35,0.1692191
27.4,0.2254276
27.45,0.4197962
27.5,0.7987764
27.55,1.344943
27.6,1.907051
27.65,2.31607
27.7,2.434135
