Sample.Number	Sample.Name	File	RNA Concentration:
43	1K 10dpi 1	2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-41-38_Sample2.csv	122.5038
44	1K 10dpi 2	2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-41-38_Sample3.csv	50.37429
45	1K 10dpi 3	2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-41-38_Sample4.csv	89.73934
46	1K 14dpi 1	2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-41-38_Sample5.csv	105.276
47	1K 14dpi 2_250uL_TRIZOL	2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-41-38_Sample6.csv	19.04576
47	1K 14dpi 2	2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-41-38_Sample7.csv	45.32732
48	1K 14dpi 3	2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-41-38_Sample8.csv	21.25752
49	6K 7dpi 1_250uL_TRIZOL	2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-41-38_Sample9.csv	150.5065
50	6K 7dpi 2 	2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-41-38_Sample10.csv	200.4168
51	6K 7dpi 3	2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-41-38_Sample11.csv	162.6985
NA	NA	2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-41-38_Ladder.csv	NA
