Data File Name,2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_11-16-28.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\bef\2012-01-05
Date Created,"Thursday, January 05, 2012 5:16:28 PM"
Date Last Modified,"Thursday, January 05, 2012 5:39:32 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Sample 6
Number of Events,1060
 
Time,Value
17,-3.281713E-02
17.05,-3.182544E-02
17.1,-2.455081E-02
17.15,-2.791556E-02
17.2,-4.604504E-02
17.25,-4.731789E-02
17.3,-3.548791E-02
17.35,-3.896399E-02
17.4,-3.581238E-02
17.45,-2.422248E-02
17.5,-1.150894E-02
17.55,-7.438862E-03
17.6,-7.754178E-03
17.65,-1.765101E-02
17.7,-2.933644E-02
17.75,-3.471523E-02
17.8,-0.0332995
17.85,-3.287584E-02
17.9,-3.098172E-02
17.95,-2.831983E-02
18,-4.191576E-02
18.05,-4.926451E-02
18.1,-3.834298E-02
18.15,-1.583709E-02
18.2,2.881591E-02
18.25,8.055758E-02
18.3,0.1067425
18.35,8.740806E-02
18.4,4.045935E-02
18.45,8.187045E-03
18.5,-2.241701E-02
18.55,-3.509806E-02
18.6,-3.052071E-02
18.65,-1.587471E-02
18.7,-4.128716E-03
18.75,-1.350694E-02
18.8,-0.0226215
18.85,-1.486064E-02
18.9,-3.288748E-02
18.95,-2.748033E-02
19,-0.0356785
19.05,-2.475299E-02
19.1,-4.339178E-02
19.15,-3.932961E-02
19.2,-2.992996E-02
19.25,-2.868491E-02
19.3,-0.0302264
19.35,-3.110197E-02
19.4,-3.753958E-02
19.45,-2.950978E-02
19.5,-2.197582E-02
19.55,-6.042048E-03
19.6,-6.717192E-03
19.65,-4.526407E-03
19.7,-2.106696E-03
19.75,-8.43083E-03
19.8,-6.588783E-03
19.85,-7.909761E-03
19.9,-2.906078E-02
19.95,-3.667082E-02
20,-1.074695E-02
20.05,1.333622E-02
20.1,1.437388E-02
20.15,8.897766E-03
20.2,-3.080728E-03
20.25,-2.306342E-02
20.3,-4.720547E-02
20.35,-3.768773E-02
20.4,-3.394106E-02
20.45,-4.425299E-02
20.5,-4.308595E-02
20.55,-0.0323501
20.6,-2.857439E-02
20.65,-0.0365927
20.7,-4.087053E-02
20.75,-3.783941E-02
20.8,-3.691913E-02
20.85,-2.464758E-02
20.9,-1.098294E-02
20.95,-1.413361E-02
21,-1.278306E-02
21.05,-8.343431E-03
21.1,1.236264E-03
21.15,-0.0161613
21.2,-3.298192E-02
21.25,-3.890417E-02
21.3,-3.359864E-02
21.35,-8.628818E-03
21.4,1.076417E-02
21.45,9.64413E-03
21.5,2.77694E-03
21.55,7.494334E-03
21.6,2.218191E-02
21.65,3.641139E-02
21.7,4.054468E-02
21.75,2.675256E-02
21.8,-1.308164E-02
21.85,-3.655473E-02
21.9,-3.039617E-02
21.95,-3.033343E-02
22,-2.901737E-02
22.05,-3.645825E-02
22.1,-5.195316E-02
22.15,-5.761556E-02
22.2,-3.040818E-02
22.25,0.2389272
22.3,1.158682
22.35,2.93348
22.4,5.369411
22.45,7.728348
22.5,9.197491
22.55,9.094611
22.6,7.536058
22.65,5.253747
22.7,3.09038
22.75,1.488133
22.8,0.5924243
22.85,0.202196
22.9,8.406419E-02
22.95,3.086478E-02
23,1.249009E-02
23.05,8.856481E-03
23.1,8.261983E-03
23.15,-3.190921E-03
23.2,-4.532492E-03
23.25,1.15395E-03
23.3,3.899734E-03
23.35,8.138715E-03
23.4,1.990453E-02
23.45,0.0287421
23.5,3.619709E-02
23.55,5.422686E-02
23.6,7.332265E-02
23.65,8.437404E-02
23.7,9.397969E-02
23.75,9.755663E-02
23.8,7.947677E-02
23.85,7.057821E-02
23.9,6.939892E-02
23.95,7.296852E-02
24,7.704926E-02
24.05,9.271865E-02
24.1,8.901314E-02
24.15,8.246349E-02
24.2,0.1047135
24.25,0.138248
24.3,0.1590922
24.35,0.1789432
24.4,0.1709301
24.45,0.1600038
24.5,0.16241
24.55,0.1778506
24.6,0.2197927
24.65,0.2547941
24.7,0.3052284
24.75,0.3415212
24.8,0.3616774
24.85,0.3929189
24.9,0.4299343
24.95,0.4872609
25,0.5459674
25.05,0.5894357
25.1,0.6157005
25.15,0.6240969
25.2,0.6432075
25.25,0.6907741
25.3,0.7886801
25.35,0.9120808
25.4,1.054966
25.45,1.205396
25.5,1.357078
25.55,1.504654
25.6,1.638962
25.65,1.783028
25.7,1.910673
25.75,2.013086
25.8,2.117019
25.85,2.167517
25.9,2.177593
25.95,2.113504
26,2.018403
26.05,1.902452
26.1,1.769635
26.15,1.664663
26.2,1.575961
26.25,1.485198
26.3,1.40673
26.35,1.371945
26.4,1.399442
26.45,1.502688
26.5,1.701087
26.55,1.977094
26.6,2.324103
26.65,2.665282
26.7,2.928179
26.75,3.073171
26.8,3.058672
26.85,2.887353
26.9,2.62068
26.95,2.330555
27,2.055168
27.05,1.816664
27.1,1.629683
27.15,1.49851
27.2,1.383541
27.25,1.299089
27.3,1.252872
27.35,1.206992
27.4,1.184128
27.45,1.156331
27.5,1.125787
27.55,1.12968
27.6,1.166329
27.65,1.339938
27.7,1.745195
27.75,2.484873
27.8,3.62998
27.85,5.145041
27.9,6.958204
