Module:	Nucleic Acid																																																																																																																																																	
Path:	10 mm																																																																																																																																																	
Software:	3.7.1																																																																																																																																																	
Firmware:																																																																																																																																																		
Sample Number	Sample Name	BA Chip	BA Lane	ng/ul	A260	A280	260/280	260/230	Constant	Cursor Pos.	Cursor abs.	340 raw	Measurement Type	Serial #	Config.	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322	323	324	325	326	327	328	329	330	331	332	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350
10	1K 9hrpi 1	1	10	225.3	5.633	2.49	2.26	1.73	40	230	3.251	0.255	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	5.073	4.742	4.536	4.237	3.968	3.793	3.576	3.443	3.383	3.307	3.251	3.216	3.17	3.12	3.069	3.059	3.083	3.157	3.232	3.387	3.551	3.641	3.78	3.956	4.091	4.27	4.425	4.533	4.7	4.846	4.929	5.05	5.212	5.313	5.442	5.532	5.587	5.645	5.664	5.651	5.633	5.593	5.533	5.474	5.339	5.153	5.027	4.846	4.65	4.52	4.348	4.168	4.044	3.848	3.655	3.461	3.312	3.076	2.844	2.695	2.49	2.286	2.148	1.95	1.775	1.615	1.503	1.33	1.171	1.081	0.946	0.804	0.72	0.604	0.501	0.413	0.362	0.3	0.245	0.214	0.17	0.136	0.101	0.083	0.061	0.045	0.035	0.026	0.014	0.006	0.005	0	-0.002	-0.003	-0.003	-0.004	-0.002	-0.004	-0.005	-0.004	-0.006	-0.008	-0.007	-0.007	-0.006	-0.003	0	0	0.003	0.002	0	0.004	0	-0.001	-0.003	-0.004	-0.004	-0.002	0	0	0	-0.001	-0.002	-0.004	-0.003	-0.003	-0.002	-0.003	-0.003	-0.003	-0.004
11	1K 9hrpi 2	1	11	159.99	4	1.774	2.25	1.23	40	230	3.264	0.192	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	5.214	4.983	4.808	4.52	4.242	4.035	3.755	3.574	3.483	3.363	3.264	3.193	3.084	2.954	2.792	2.71	2.631	2.598	2.6	2.639	2.703	2.746	2.817	2.919	2.996	3.108	3.205	3.272	3.38	3.474	3.529	3.612	3.729	3.798	3.89	3.952	3.984	4.016	4.023	4.011	4	3.97	3.928	3.885	3.793	3.667	3.581	3.453	3.313	3.218	3.093	2.967	2.879	2.737	2.6	2.461	2.355	2.189	2.024	1.918	1.774	1.63	1.534	1.394	1.274	1.161	1.082	0.962	0.851	0.786	0.691	0.59	0.528	0.446	0.373	0.309	0.27	0.225	0.185	0.164	0.133	0.108	0.083	0.069	0.052	0.039	0.029	0.021	0.013	0.004	0.002	-0.001	-0.001	0	0	-0.003	-0.004	-0.005	-0.004	-0.005	-0.006	-0.007	-0.008	-0.008	-0.008	-0.008	-0.006	-0.006	-0.002	-0.003	-0.001	0	-0.001	0.001	-0.001	-0.003	-0.004	-0.005	-0.002	0	0	-0.002	-0.005	-0.005	-0.004	-0.004	-0.009	-0.01	-0.01	-0.009	-0.008
12	1K 9hrpi 3	1	12	214.11	5.353	2.397	2.23	2.46	40	230	2.176	0.192	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	3.219	2.974	2.814	2.603	2.436	2.349	2.25	2.2	2.186	2.173	2.176	2.184	2.208	2.248	2.324	2.391	2.509	2.657	2.777	2.997	3.205	3.314	3.472	3.665	3.809	4	4.16	4.271	4.442	4.589	4.672	4.791	4.952	5.05	5.174	5.267	5.318	5.37	5.384	5.373	5.353	5.317	5.262	5.202	5.077	4.906	4.789	4.623	4.438	4.319	4.154	3.99	3.872	3.688	3.505	3.322	3.182	2.956	2.735	2.592	2.397	2.204	2.073	1.88	1.716	1.563	1.456	1.291	1.141	1.053	0.924	0.794	0.711	0.604	0.509	0.423	0.374	0.316	0.262	0.231	0.188	0.151	0.116	0.097	0.075	0.058	0.045	0.034	0.022	0.014	0.013	0.009	0.004	0.005	0.006	0.007	0.007	0.007	0.005	0.006	0.007	0.003	-0.001	-0.003	-0.003	-0.004	-0.004	-0.005	-0.003	-0.002	-0.001	0.001	0.003	0.004	0.002	0.002	0.001	0	0.001	-0.001	0	-0.001	-0.004	-0.008	-0.008	-0.008	-0.01	-0.012	-0.013	-0.013	-0.009
13	1K 12hrpi 1	2	1	221.37	5.534	2.49	2.22	2.48	40	230	2.228	0.166	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	3.253	3.003	2.852	2.652	2.478	2.387	2.293	2.245	2.234	2.225	2.228	2.237	2.265	2.308	2.393	2.463	2.585	2.742	2.868	3.098	3.314	3.427	3.59	3.79	3.936	4.129	4.293	4.406	4.58	4.732	4.818	4.94	5.103	5.205	5.337	5.431	5.484	5.539	5.557	5.549	5.534	5.491	5.43	5.372	5.248	5.07	4.947	4.779	4.591	4.471	4.307	4.135	4.016	3.826	3.637	3.445	3.298	3.067	2.838	2.693	2.49	2.286	2.153	1.956	1.786	1.626	1.518	1.348	1.194	1.106	0.973	0.837	0.753	0.643	0.544	0.456	0.405	0.344	0.287	0.256	0.21	0.171	0.134	0.113	0.089	0.071	0.061	0.051	0.041	0.031	0.027	0.024	0.023	0.021	0.017	0.016	0.017	0.016	0.014	0.009	0.006	0.007	0.009	0.009	0.009	0.009	0.01	0.009	0.011	0.01	0.006	0.006	0.008	0.008	0.005	0.004	0.004	0.002	0.003	0.002	0	-0.002	0	0	-0.001	-0.003	-0.005	-0.007	-0.006	-0.006	-0.008
14	1K 12hrpi 2	2	2	169.5	4.237	1.9	2.23	2.52	40	230	1.68	0.186	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	2.515	2.306	2.182	2.022	1.884	1.812	1.732	1.695	1.684	1.677	1.68	1.687	1.71	1.744	1.809	1.867	1.966	2.089	2.186	2.36	2.529	2.616	2.743	2.896	3.008	3.151	3.274	3.362	3.496	3.612	3.677	3.772	3.905	3.991	4.101	4.179	4.216	4.249	4.259	4.252	4.237	4.207	4.16	4.114	4.024	3.894	3.804	3.671	3.525	3.429	3.297	3.164	3.069	2.923	2.779	2.633	2.521	2.342	2.167	2.053	1.9	1.744	1.638	1.485	1.353	1.232	1.146	1.013	0.894	0.826	0.726	0.621	0.557	0.472	0.399	0.334	0.294	0.249	0.208	0.184	0.151	0.123	0.096	0.083	0.065	0.051	0.043	0.033	0.023	0.016	0.016	0.015	0.013	0.012	0.011	0.014	0.014	0.012	0.009	0.007	0.006	0.006	0.007	0.007	0.006	0.005	0.008	0.007	0.011	0.01	0.006	0.006	0.011	0.011	0.01	0.007	0.007	0.006	0.006	0.004	0	-0.001	-0.002	-0.001	-0.001	-0.001	-0.002	-0.001	0	0.001	-0.001
15	1K 12hrpi 3	2	3	195.97	4.899	2.179	2.25	2.37	40	230	2.067	0.204	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	3.097	2.862	2.721	2.522	2.356	2.264	2.151	2.102	2.086	2.072	2.067	2.072	2.088	2.118	2.18	2.233	2.33	2.463	2.569	2.763	2.949	3.048	3.195	3.37	3.5	3.666	3.811	3.91	4.066	4.197	4.274	4.386	4.53	4.623	4.745	4.831	4.873	4.918	4.926	4.914	4.899	4.862	4.81	4.756	4.648	4.497	4.388	4.233	4.064	3.953	3.8	3.646	3.537	3.367	3.199	3.031	2.903	2.696	2.493	2.36	2.179	1.999	1.877	1.7	1.549	1.409	1.312	1.162	1.026	0.946	0.829	0.705	0.63	0.531	0.444	0.366	0.321	0.267	0.218	0.191	0.152	0.12	0.09	0.073	0.053	0.04	0.032	0.024	0.016	0.007	0.007	0.006	0.004	0.002	0.002	0.001	0	-0.001	-0.003	-0.005	-0.006	-0.005	-0.004	-0.003	-0.001	0	0.002	0.003	0.005	0.004	0.002	0.002	0.004	0.006	0.004	0.001	0.001	0	0.003	0.001	0	-0.001	-0.003	-0.004	-0.004	-0.004	-0.004	-0.005	-0.007	-0.005	-0.004
16	1K 1dpi 1	2	4	254.04	6.351	2.839	2.24	2.58	40	230	2.464	0.201	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	3.57	3.285	3.108	2.882	2.698	2.605	2.507	2.467	2.457	2.455	2.464	2.479	2.518	2.578	2.684	2.772	2.922	3.109	3.258	3.527	3.777	3.912	4.103	4.332	4.504	4.727	4.917	5.05	5.252	5.425	5.523	5.664	5.852	5.967	6.119	6.227	6.294	6.366	6.383	6.375	6.351	6.301	6.233	6.165	6.013	5.813	5.675	5.478	5.266	5.126	4.931	4.735	4.595	4.375	4.159	3.939	3.774	3.507	3.243	3.074	2.839	2.605	2.447	2.219	2.019	1.835	1.709	1.513	1.332	1.227	1.074	0.917	0.82	0.692	0.577	0.477	0.419	0.352	0.288	0.252	0.201	0.157	0.119	0.094	0.069	0.05	0.038	0.026	0.015	0.007	0.006	0.005	0.001	-0.001	-0.002	-0.002	0.002	0.001	-0.003	-0.004	-0.005	-0.006	-0.003	-0.006	-0.006	-0.006	-0.006	-0.007	-0.002	-0.003	-0.005	-0.004	-0.004	-0.004	-0.004	-0.004	-0.003	-0.002	0	-0.001	0	0	0	-0.002	-0.002	-0.005	-0.006	-0.007	-0.009	-0.01	-0.009
17	1K 1dpi 2	2	5	187.29	4.682	2.077	2.25	2.53	40	230	1.848	0.194	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	2.735	2.511	2.378	2.2	2.052	1.977	1.898	1.861	1.851	1.844	1.848	1.856	1.882	1.919	1.997	2.058	2.164	2.3	2.412	2.605	2.789	2.884	3.022	3.192	3.314	3.477	3.614	3.713	3.862	3.994	4.067	4.174	4.32	4.413	4.53	4.612	4.657	4.697	4.708	4.696	4.682	4.649	4.595	4.549	4.444	4.301	4.197	4.052	3.888	3.782	3.635	3.487	3.384	3.22	3.058	2.896	2.771	2.575	2.379	2.252	2.077	1.902	1.786	1.617	1.469	1.332	1.237	1.091	0.96	0.886	0.773	0.657	0.586	0.494	0.414	0.341	0.297	0.247	0.2	0.175	0.139	0.107	0.076	0.062	0.044	0.032	0.024	0.017	0.008	0	0.001	-0.001	-0.003	-0.003	-0.002	-0.006	-0.004	-0.003	-0.003	-0.007	-0.005	-0.008	-0.007	-0.006	-0.007	-0.009	-0.008	-0.008	-0.007	-0.007	-0.007	-0.005	-0.002	0	-0.001	-0.002	0	0	0.001	0	0	-0.004	-0.005	-0.006	-0.005	-0.008	-0.011	-0.011	-0.013	-0.01	-0.009
18	1K 1dpi 3	2	6	192.21	4.805	2.156	2.23	2.44	40	230	1.967	0.145	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	2.857	2.632	2.495	2.307	2.167	2.096	2.014	1.982	1.972	1.964	1.967	1.975	1.999	2.034	2.1	2.157	2.262	2.398	2.506	2.704	2.893	2.991	3.13	3.301	3.433	3.6	3.742	3.841	3.992	4.123	4.198	4.306	4.441	4.53	4.642	4.726	4.772	4.819	4.829	4.82	4.805	4.768	4.718	4.664	4.553	4.401	4.296	4.15	3.991	3.884	3.737	3.589	3.483	3.32	3.156	2.989	2.861	2.658	2.46	2.331	2.156	1.981	1.863	1.695	1.55	1.414	1.319	1.175	1.041	0.963	0.849	0.73	0.657	0.562	0.476	0.4	0.355	0.301	0.253	0.224	0.186	0.153	0.12	0.101	0.082	0.069	0.059	0.053	0.045	0.038	0.037	0.033	0.03	0.026	0.021	0.015	0.011	0.008	0.005	0.002	-0.001	-0.003	-0.001	-0.003	-0.001	-0.002	0.001	0.002	0.006	0.007	0.006	0.006	0.007	0.01	0.006	0.007	0.009	0.009	0.006	0.006	0	-0.002	-0.001	-0.002	-0.004	-0.005	-0.004	-0.005	-0.004	-0.002	-0.005
19	1K 2dpi 1	2	7	172.01	4.3	1.919	2.24	2.35	40	230	1.829	0.175	 Measure 	 USB2G5551 B2345 	 0.999107/1.75/80/16 	2.737	2.53	2.396	2.222	2.083	2.004	1.909	1.863	1.85	1.833	1.829	1.83	1.842	1.865	1.914	1.959	2.042	2.159	2.252	2.423	2.585	2.67	2.796	2.948	3.059	3.207	3.332	3.419	3.554	3.669	3.735	3.833	3.966	4.045	4.152	4.231	4.271	4.311	4.323	4.315	4.3	4.267	4.218	4.172	4.074	3.941	3.847	3.711	3.563	3.466	3.334	3.201	3.104	2.955	2.808	2.659	2.546	2.365	2.189	2.074	1.919	1.762	1.655	1.499	1.368	1.244	1.159	1.029	0.907	0.837	0.737	0.634	0.566	0.48	0.401	0.333	0.294	0.246	0.204	0.179	0.146	0.118	0.09	0.075	0.058	0.046	0.037	0.033	0.025	0.017	0.017	0.014	0.009	0.009	0.008	0.006	0.006	0.007	0.005	0.004	0.004	0.005	0.007	0.004	0.002	0	0.004	0.003	0.005	0.002	0	0.002	0.004	0.005	0.003	0.002	0.003	0.001	-0.002	0	0	-0.001	-0.001	-0.004	-0.004	-0.006	-0.004	-0.006	-0.008	-0.009	-0.008
