Data File Name,2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_10-24-10.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\bef\2012-01-05
Date Created,"Thursday, January 05, 2012 4:24:09 PM"
Date Last Modified,"Thursday, January 05, 2012 4:48:00 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Sample 1
Number of Events,1060
 
Time,Value
17,-6.896698E-02
17.05,-6.446776E-02
17.1,-3.999524E-02
17.15,-4.191582E-02
17.2,-3.579747E-02
17.25,-3.873836E-02
17.3,-3.566616E-02
17.35,-0.0333198
17.4,-3.084684E-02
17.45,-4.457639E-02
17.5,-5.163468E-02
17.55,-4.792377E-02
17.6,-5.354026E-02
17.65,-4.431038E-02
17.7,-3.526776E-02
17.75,-0.0221518
17.8,-0.0188652
17.85,-1.534457E-02
17.9,-1.408993E-02
17.95,-2.220993E-02
18,-1.008034E-02
18.05,3.231494E-02
18.1,4.584701E-02
18.15,6.229728E-02
18.2,4.969363E-02
18.25,2.730776E-02
18.3,3.169172E-03
18.35,2.64188E-03
18.4,5.042214E-03
18.45,-1.282067E-03
18.5,-1.872333E-02
18.55,-2.991461E-02
18.6,-0.0356903
18.65,-3.000987E-02
18.7,-2.742727E-02
18.75,-3.521257E-02
18.8,-3.459122E-02
18.85,-2.103905E-02
18.9,-1.208234E-02
18.95,-3.868856E-03
19,-9.936365E-03
19.05,-1.390409E-02
19.1,-2.673276E-02
19.15,-1.840346E-02
19.2,-2.389472E-03
19.25,0.002354
19.3,-2.931573E-02
19.35,-3.955436E-02
19.4,-5.522232E-02
19.45,-0.0519053
19.5,-3.434892E-02
19.55,-3.332544E-02
19.6,-3.340456E-02
19.65,-7.781672E-03
19.7,2.568813E-02
19.75,4.348375E-02
19.8,3.324502E-02
19.85,1.146453E-02
19.9,-2.171954E-02
19.95,-4.386944E-02
20,-2.993306E-02
20.05,-1.205338E-02
20.1,-1.519801E-02
20.15,-3.070335E-02
20.2,-5.770962E-02
20.25,-5.018806E-02
20.3,-4.670693E-02
20.35,-2.848586E-02
20.4,1.118235E-03
20.45,1.537196E-02
20.5,7.904781E-03
20.55,-1.352334E-02
20.6,-2.966903E-02
20.65,-4.938889E-02
20.7,-4.813351E-02
20.75,-2.382989E-02
20.8,-3.45331E-03
20.85,0.0024882
20.9,5.905084E-03
20.95,8.363936E-03
21,-1.170733E-03
21.05,-2.585011E-03
21.1,-1.411493E-02
21.15,-3.187624E-02
21.2,-4.811156E-02
21.25,-3.370683E-02
21.3,-2.716549E-02
21.35,-0.0353035
21.4,-3.771067E-02
21.45,-4.102184E-02
21.5,-5.444689E-02
21.55,-5.813716E-02
21.6,-0.0629779
21.65,-5.369762E-02
21.7,-4.383172E-02
21.75,-2.833694E-02
21.8,-2.281041E-02
21.85,-3.219693E-02
21.9,-5.068923E-02
21.95,-5.728108E-02
22,-6.762321E-02
22.05,-6.470669E-02
22.1,-6.357934E-02
22.15,-5.801642E-02
22.2,0.1290769
22.25,0.8143346
22.3,2.219108
22.35,4.193241
22.4,6.203089
22.45,7.56325
22.5,7.68778
22.55,6.523773
22.6,4.661429
22.65,2.800756
22.7,1.38559
22.75,0.5518724
22.8,0.1747452
22.85,6.205434E-02
22.9,3.001853E-02
22.95,1.209594E-02
23,1.660297E-02
23.05,0.0217406
23.1,1.754837E-02
23.15,0.0114345
23.2,-6.439459E-03
23.25,-3.484009E-02
23.3,-4.295003E-02
23.35,-3.709102E-02
23.4,-2.162337E-02
23.45,-9.208049E-03
23.5,1.074646E-02
23.55,1.843219E-02
23.6,3.494035E-02
23.65,5.345413E-02
23.7,0.0488025
23.75,4.372671E-02
23.8,4.740202E-02
23.85,4.507323E-02
23.9,3.566289E-02
23.95,3.251478E-02
24,2.966636E-02
24.05,2.330138E-02
24.1,3.323453E-02
24.15,0.0591877
24.2,7.278942E-02
24.25,8.239984E-02
24.3,9.839676E-02
24.35,0.1184745
24.4,0.1289931
24.45,0.1384809
24.5,0.1543352
24.55,0.1696576
24.6,0.179513
24.65,0.2009607
24.7,0.2056395
24.75,0.2157364
24.8,0.208642
24.85,0.2105238
24.9,0.2062344
24.95,0.2145187
25,0.2144355
25.05,0.2336904
25.1,0.2462269
25.15,0.261263
25.2,0.2722625
25.25,0.2815607
25.3,0.2774225
25.35,0.2720959
25.4,0.2813852
25.45,0.3005075
25.5,0.3312108
25.55,0.3784269
25.6,0.4171304
25.65,0.4393385
25.7,0.4454743
25.75,0.4711394
25.8,0.4767455
25.85,0.4552355
25.9,0.4270642
25.95,0.4073505
26,0.3752173
26.05,0.3634155
26.1,0.3597173
26.15,0.3671778
26.2,0.3465214
26.25,0.3388476
26.3,0.3260719
26.35,0.3088085
26.4,0.3045997
26.45,0.3082222
26.5,0.3137636
26.55,0.321752
26.6,0.3510519
26.65,0.4079285
26.7,0.4898828
26.75,0.5874755
26.8,0.6653681
26.85,0.7095008
26.9,0.725845
26.95,0.7190619
27,0.7072735
27.05,0.6798269
27.1,0.6415064
27.15,0.6014197
27.2,0.5623214
27.25,0.5167218
27.3,0.5151004
27.35,0.6657532
27.4,1.089787
27.45,1.879599
27.5,2.94127
27.55,3.972528
27.6,4.607469
27.65,4.649208
27.7,4.12495
27.75,3.263049
27.8,2.392994
27.85,1.704971
27.9,1.233845
27.95,0.9375167
28,0.7883399
28.05,0.7260441
28.1,0.7112465
28.15,0.7512253
28.2,0.8148623
28.25,0.8497006
28.3,0.869489
28.35,0.8864766
28.4,0.88417
28.45,0.8514121
28.5,0.8189171
28.55,0.7944251
28.6,0.7442241
28.65,0.692085
28.7,0.6210311
28.75,0.5321108
28.8,0.4413592
28.85,0.383066
28.9,0.3675798
28.95,0.3635531
29,0.3794785
29.05,0.3883334
29.1,0.3817631
29.15,0.3864821
29.2,0.3976325
29.25,0.4120865
29.3,0.4113324
29.35,0.4229107
29.4,0.4607956
29.45,0.5200348
29.5,0.6087697
29.55,0.7217532
29.6,0.8269221
29.65,0.8982273
29.7,0.9397163
29.75,0.9490312
29.8,0.9022574
29.85,0.8157116
29.9,0.7297134
29.95,0.6463919
30,0.5777025
30.05,0.5506558
30.1,0.5488618
30.15,0.5281182
30.2,0.5204363
30.25,0.5267613
30.3,0.5442787
30.35,0.5581211
30.4,0.6010495
30.45,0.6409881
30.5,0.632856
30.55,0.5871791
30.6,0.5368754
30.65,0.4679733
30.7,0.405464
30.75,0.3712043
30.8,0.3709959
30.85,0.3741111
30.9,0.3905006
30.95,0.4082857
31,0.4239567
31.05,0.4203826
31.1,0.4074084
31.15,0.3784807
31.2,0.3434904
31.25,0.3507929
31.3,0.3747972
31.35,0.4171787
31.4,0.4546803
31.45,0.4484124
31.5,0.4378929
31.55,0.4063649
31.6,0.4102154
31.65,0.4140044
31.7,0.411627
31.75,0.4385911
31.8,0.4552402
31.85,0.4704844
31.9,0.4824226
31.95,0.486497
32,0.4914854
32.05,0.4929961
32.1,0.4986632
32.15,0.4932383
32.2,0.4641544
32.25,0.4248886
32.3,0.4029463
32.35,0.3960221
32.4,0.395649
32.45,0.3966317
32.5,0.4255522
32.55,0.4533932
32.6,0.5043676
32.65,0.5821452
32.7,0.6745538
32.75,0.7212226
32.8,0.7448073
32.85,0.7118601
32.9,0.6201842
32.95,0.5137437
33,0.4398477
33.05,0.386916
33.1,0.3697071
33.15,0.385031
33.2,0.4046214
33.25,0.4071623
33.3,0.4049707
33.35,0.4102009
33.4,0.4121923
33.45,0.4229323
33.5,0.4400151
33.55,0.4457363
33.6,0.4489735
33.65,0.4504152
33.7,0.4460395
33.75,0.4571648
33.8,0.465093
33.85,0.4877103
33.9,0.4893653
33.95,0.4947231
34,0.5112524
34.05,0.5236913
34.1,0.5447452
34.15,0.5759447
34.2,0.6035534
34.25,0.6111929
34.3,0.5970927
34.35,0.5794506
34.4,0.5754288
34.45,0.6066746
34.5,0.6683839
34.55,0.7274203
34.6,0.7628052
34.65,0.7482189
34.7,0.7069977
34.75,0.6725904
34.8,0.6574837
34.85,0.675968
34.9,0.6901618
34.95,0.7037069
35,0.6802272
35.05,0.6482585
35.1,0.6175482
35.15,0.5917922
35.2,0.5783051
35.25,0.5863724
35.3,0.6265973
35.35,0.6824713
35.4,0.7439103
35.45,0.8271229
35.5,0.8973433
35.55,0.9533918
35.6,1.005339
35.65,1.043637
35.7,1.052037
35.75,1.020873
35.8,1.018817
35.85,1.007228
35.9,1.01735
35.95,1.042001
36,1.080324
36.05,1.065758
36.1,1.01289
36.15,0.9561574
36.2,0.8985645
36.25,0.8283689
36.3,0.7944392
36.35,0.8065736
36.4,0.8169228
36.45,0.8160397
36.5,0.821241
36.55,0.8436469
36.6,0.8553154
36.65,0.8864137
36.7,0.9478809
36.75,0.9889202
36.8,1.015854
36.85,1.044469
36.9,1.083084
36.95,1.113056
37,1.116048
37.05,1.100731
37.1,1.062275
37.15,0.9861363
37.2,0.9557692
37.25,0.939482
37.3,0.9549811
37.35,1.015481
37.4,1.052585
37.45,1.121451
37.5,1.167641
37.55,1.202472
37.6,1.206333
37.65,1.194494
37.7,1.165217
37.75,1.127964
37.8,1.116699
37.85,1.124016
37.9,1.165614
37.95,1.218895
38,1.263914
38.05,1.27124
38.1,1.237638
38.15,1.201328
38.2,1.191987
38.25,1.196604
38.3,1.249123
38.35,1.32562
38.4,1.420616
38.45,1.531331
38.5,1.635199
38.55,1.737785
38.6,1.822221
38.65,1.910127
38.7,2.043628
38.75,2.201745
38.8,2.353482
38.85,2.464697
38.9,2.482842
38.95,2.386351
39,2.207075
39.05,2.000055
39.1,1.820429
39.15,1.688497
39.2,1.646981
39.25,1.622801
39.3,1.617112
39.35,1.616291
39.4,1.593685
39.45,1.570624
39.5,1.574867
39.55,1.668932
39.6,1.845231
39.65,2.056264
39.7,2.262043
39.75,2.403324
39.8,2.434716
39.85,2.375615
39.9,2.281514
39.95,2.212265
40,2.172892
40.05,2.20887
40.1,2.326234
40.15,2.516692
40.2,2.741518
40.25,2.961827
40.3,3.132591
40.35,3.16921
40.4,3.117909
40.45,2.980072
40.5,2.829344
40.55,2.710242
40.6,2.630218
40.65,2.578261
40.7,2.566755
40.75,2.600726
40.8,2.780691
40.85,3.121225
40.9,3.578757
40.95,4.093143
41,5.145319
41.05,8.457367
41.1,16.34389
41.15,28.76319
41.2,42.19033
41.25,51.62123
41.3,53.73314
41.35,48.68808
41.4,39.88718
41.45,32.36793
41.5,30.11825
41.55,33.77105
41.6,40.94813
41.65,48.264
41.7,52.62375
41.75,53.29507
41.8,52.02466
41.85,52.12171
41.9,55.50621
41.95,61.08861
42,65.99857
42.05,67.11251
42.1,62.78431
42.15,53.89204
42.2,42.87363
42.25,32.23097
42.3,23.58545
42.35,17.58011
42.4,13.79787
42.45,11.42357
42.5,9.849153
42.55,8.619056
42.6,7.563196
42.65,6.555524
42.7,5.645561
42.75,4.908396
42.8,4.298275
42.85,3.820197
42.9,3.399482
42.95,3.043302
43,2.75939
43.05,2.475711
43.1,2.225157
43.15,2.021638
43.2,1.85927
43.25,1.761061
43.3,1.71682
43.35,1.711567
43.4,1.704936
43.45,1.678635
43.5,1.65998
43.55,1.654471
43.6,1.677582
43.65,1.707006
43.7,1.718444
43.75,1.703183
43.8,1.691462
43.85,1.641701
43.9,1.576262
43.95,1.482487
44,1.408469
44.05,1.332164
44.1,1.260558
44.15,1.235196
44.2,1.247529
44.25,1.270861
44.3,1.281427
44.35,1.270766
44.4,1.299949
44.45,1.322734
44.5,1.360816
44.55,1.429322
44.6,1.523811
44.65,1.59578
44.7,1.650106
44.75,1.710076
44.8,1.719765
44.85,1.703336
44.9,1.681611
44.95,1.641943
45,1.604933
45.05,1.541585
45.1,1.537823
45.15,1.476937
45.2,1.437124
45.25,1.421958
45.3,1.407412
45.35,1.402591
45.4,1.391712
45.45,1.393389
45.5,1.38978
45.55,1.418568
45.6,1.470213
45.65,1.482141
45.7,1.47906
45.75,1.476
45.8,1.464505
45.85,1.447112
45.9,1.444014
45.95,1.451385
46,1.442716
46.05,1.437012
46.1,1.471426
46.15,1.485389
46.2,1.54094
46.25,1.614647
46.3,1.821403
46.35,2.173235
46.4,2.711993
46.45,3.48445
46.5,4.389769
46.55,5.32866
46.6,6.118078
46.65,6.755755
46.7,7.194698
46.75,7.456937
46.8,7.622229
46.85,7.734662
46.9,7.830091
46.95,7.934036
47,8.204155
47.05,8.511227
47.1,8.826248
47.15,9.003283
47.2,9.031322
47.25,8.866724
47.3,8.600431
47.35,8.373127
47.4,8.141398
47.45,7.945717
47.5,7.765222
47.55,7.558122
47.6,7.462554
47.65,7.422888
47.7,7.514063
47.75,7.779636
47.8,8.199343
47.85,8.687407
47.9,9.05604
47.95,9.124104
48,8.769891
48.05,8.129074
48.1,7.410219
48.15,6.809346
48.2,6.33997
48.25,6.019138
48.3,5.627353
48.35,5.272194
48.4,4.916467
48.45,4.558367
48.5,4.183518
48.55,3.837129
48.6,3.449064
48.65,3.118743
48.7,2.824394
48.75,2.585504
48.8,2.371265
48.85,2.200763
48.9,2.081547
48.95,1.989052
49,1.911017
49.05,1.836798
49.1,1.736073
49.15,1.65555
49.2,1.593868
49.25,1.534349
49.3,1.48522
49.35,1.437348
49.4,1.440597
49.45,1.444916
49.5,1.421316
49.55,1.404348
49.6,1.384591
49.65,1.34977
49.7,1.30256
49.75,1.317634
49.8,1.355071
49.85,1.408825
49.9,1.432089
49.95,1.447075
50,1.462608
50.05,1.493977
50.1,1.559588
50.15,1.663197
50.2,1.770731
50.25,1.829768
50.3,1.829658
50.35,1.821689
50.4,1.81857
50.45,1.84332
50.5,1.900069
50.55,1.995103
50.6,2.066385
50.65,2.11256
50.7,2.140562
50.75,2.154847
50.8,2.145175
50.85,2.141635
50.9,2.161216
50.95,2.19666
51,2.229986
51.05,2.239336
51.1,2.247443
51.15,2.260048
51.2,2.238275
51.25,2.15637
51.3,2.053102
51.35,2.040996
51.4,2.088053
51.45,2.165938
51.5,2.249416
51.55,2.294818
51.6,2.253433
51.65,2.199625
51.7,2.128319
51.75,2.084627
51.8,2.019534
51.85,1.99847
51.9,1.987307
51.95,1.944798
52,1.913382
52.05,1.900303
52.1,1.859992
52.15,1.83618
52.2,1.80857
52.25,1.757767
52.3,1.704368
52.35,1.670293
52.4,1.654692
52.45,1.623422
52.5,1.588198
52.55,1.556058
52.6,1.550117
52.65,1.560591
52.7,1.571232
52.75,1.609599
52.8,1.633474
52.85,1.617877
52.9,1.561477
52.95,1.47698
53,1.478638
53.05,1.483451
53.1,1.560329
53.15,1.604393
53.2,1.645273
53.25,1.664648
53.3,1.616642
53.35,1.570387
53.4,1.531204
53.45,1.532433
53.5,1.563722
53.55,1.57866
53.6,1.532366
53.65,1.411414
53.7,1.260675
53.75,1.15227
53.8,1.14749
53.85,1.17257
53.9,1.185652
53.95,1.15119
54,1.106382
54.05,1.075068
54.1,1.056882
54.15,1.083731
54.2,1.082265
54.25,1.064177
54.3,1.055865
54.35,1.031125
54.4,1.017544
54.45,1.02231
54.5,1.046337
54.55,1.05851
54.6,1.041702
54.65,1.030211
54.7,0.9999146
54.75,0.9700715
54.8,0.9381499
54.85,0.9278661
54.9,0.9004582
54.95,0.8527452
55,0.8281655
55.05,0.8546785
55.1,0.8737527
55.15,0.8779878
55.2,0.8670123
55.25,0.864803
55.3,0.865644
55.35,0.8415037
55.4,0.810464
55.45,0.8125852
55.5,0.8250483
55.55,0.8351079
55.6,0.8510677
55.65,0.8704699
55.7,0.8773331
55.75,0.8501922
55.8,0.8178189
55.85,0.77929
55.9,0.7305549
55.95,0.7393298
56,0.7617761
56.05,0.802587
56.1,0.8356146
56.15,0.8078099
56.2,0.748152
56.25,0.7182178
56.3,0.6920595
56.35,0.6898059
56.4,0.6803755
56.45,0.7013438
56.5,0.7259458
56.55,0.7283738
56.6,0.7038997
56.65,0.6691871
56.7,0.6373684
56.75,0.6308335
56.8,0.6329814
56.85,0.6648245
56.9,0.7010501
56.95,0.7094385
57,0.7187877
57.05,0.7393355
57.1,0.7400864
57.15,0.7155252
57.2,0.7110723
57.25,0.6532853
57.3,0.6088629
57.35,0.5691765
57.4,0.6043788
57.45,0.6472734
57.5,0.6984941
57.55,0.7552012
57.6,0.7609932
57.65,0.7366324
57.7,0.7055795
57.75,0.6569394
57.8,0.6199256
57.85,0.5956194
57.9,0.5855581
57.95,0.5815854
58,0.5968271
58.05,0.5984061
58.1,0.587702
58.15,0.5975193
58.2,0.6324016
58.25,0.6511081
58.3,0.6521296
58.35,0.6802143
58.4,0.6433016
58.45,0.6233547
58.5,0.6074657
58.55,0.6272303
58.6,0.6186897
58.65,0.6015317
58.7,0.5949091
58.75,0.5933942
58.8,0.592804
58.85,0.6184585
58.9,0.6531725
58.95,0.6669288
59,0.6567082
59.05,0.6513146
59.1,0.6434456
59.15,0.645093
59.2,0.6678237
59.25,0.6851976
59.3,0.6720117
59.35,0.6137028
59.4,0.5595867
59.45,0.5040709
59.5,0.4841499
59.55,0.4891371
59.6,0.5131758
59.65,0.5242878
59.7,0.5152047
59.75,0.4826362
59.8,0.4451079
59.85,0.4253604
59.9,0.4240918
59.95,0.4433384
60,0.4793369
60.05,0.494547
60.1,0.4840886
60.15,0.4685356
60.2,0.4441608
60.25,0.4063134
60.3,0.3834058
60.35,0.399722
60.4,0.4093564
60.45,0.3986621
60.5,0.401012
60.55,0.3969921
60.6,0.3757676
60.65,0.3705932
60.7,0.4049397
60.75,0.4354492
60.8,0.4570058
60.85,0.4916036
60.9,0.5116076
60.95,0.4907503
61,0.4502437
61.05,0.4076881
61.1,0.3983779
61.15,0.3941278
61.2,0.3846161
61.25,0.3861689
61.3,0.3786662
61.35,0.3519165
61.4,0.3152695
61.45,0.2952751
61.5,0.2890495
61.55,0.294027
61.6,0.3472189
61.65,0.3671699
61.7,0.3541359
61.75,0.3623758
61.8,0.3663034
61.85,0.3474259
61.9,0.3375857
61.95,0.3383845
62,0.3248081
62.05,0.3190739
62.1,0.3395972
62.15,0.3468164
62.2,0.3239843
62.25,0.3024158
62.3,0.2927146
62.35,0.276286
62.4,0.2831499
62.45,0.2872065
62.5,0.3033896
62.55,0.3252037
62.6,0.3366902
62.65,0.3518973
62.7,0.3320348
62.75,0.3106369
62.8,0.2920784
62.85,0.2954585
62.9,0.2893485
62.95,0.2811162
63,0.2892049
63.05,0.2828225
63.1,0.2728502
63.15,0.2889767
63.2,0.2852399
63.25,0.296526
63.3,0.2937532
63.35,0.3123794
63.4,0.3554014
63.45,0.373374
63.5,0.3478086
63.55,0.3032992
63.6,0.2638826
63.65,0.2491359
63.7,0.2555226
63.75,0.2763932
63.8,0.2858191
63.85,0.2629545
63.9,0.2504598
63.95,0.2717404
64,0.2834146
64.05,0.288343
64.1,0.2766948
64.15,0.2653971
64.2,0.2533163
64.25,0.2521558
64.3,0.2610464
64.35,0.2520643
64.4,0.2336734
64.45,0.2238054
64.5,0.2187615
64.55,0.2180384
64.6,0.2236927
64.65,0.2396863
64.7,0.26743
64.75,0.2981667
64.8,0.3034428
64.85,0.2911598
64.9,0.2677488
64.95,0.2399474
65,0.2513852
65.05,0.2970494
65.1,0.3351677
65.15,0.3533029
65.2,0.3522899
65.25,0.318821
65.3,0.2661462
65.35,0.2377321
65.4,0.2076569
65.45,0.1901063
65.5,0.1848514
65.55,0.1839516
65.6,0.1956407
65.65,0.2138991
65.7,0.2194875
65.75,0.2087434
65.8,0.2012572
