Data File Name,2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_09-47-46.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\bef\2012-01-05
Date Created,"Thursday, January 05, 2012 4:11:29 PM"
Date Last Modified,"Thursday, January 05, 2012 3:47:46 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Sample 6
Number of Events,1060
 
Time,Value
17,4.031424E-03
17.05,3.664596E-02
17.1,0.055824
17.15,6.314649E-02
17.2,6.452446E-02
17.25,6.399523E-02
17.3,6.330543E-02
17.35,5.473181E-02
17.4,3.161658E-02
17.45,1.212142E-02
17.5,-1.256861E-02
17.55,-4.035391E-02
17.6,-5.066952E-02
17.65,-0.0495398
17.7,-4.612356E-02
17.75,-0.0256441
17.8,-7.94804E-03
17.85,2.506665E-02
17.9,4.309247E-02
17.95,5.073177E-02
18,4.793014E-02
18.05,2.281504E-02
18.1,-4.256977E-03
18.15,-3.897498E-02
18.2,-5.681969E-02
18.25,-6.852812E-02
18.3,-6.585129E-02
18.35,-3.809102E-02
18.4,-0.0231226
18.45,4.871518E-03
18.5,2.467009E-02
18.55,2.053129E-02
18.6,0.0220264
18.65,1.795151E-02
18.7,1.614515E-02
18.75,-5.666733E-03
18.8,-0.0109834
18.85,-2.695063E-03
18.9,-9.389771E-03
18.95,6.648558E-03
19,2.147924E-02
19.05,2.281134E-02
19.1,1.519856E-02
19.15,5.798566E-03
19.2,-1.013535E-02
19.25,-2.100049E-02
19.3,-1.515311E-02
19.35,-1.833901E-02
19.4,-2.735965E-02
19.45,-2.038647E-02
19.5,-1.662547E-02
19.55,-7.875632E-03
19.6,3.560715E-03
19.65,2.222828E-02
19.7,2.197843E-02
19.75,4.695966E-02
19.8,4.558725E-02
19.85,5.565662E-02
19.9,3.397178E-02
19.95,1.585073E-02
20,-2.678926E-02
20.05,-5.968021E-02
20.1,-6.647447E-02
20.15,-5.676289E-02
20.2,-3.931195E-02
20.25,-0.0234169
20.3,-1.216249E-02
20.35,-2.905553E-03
20.4,-1.785119E-02
20.45,-4.433689E-02
20.5,-0.0576022
20.55,-6.709822E-02
20.6,-7.088958E-02
20.65,-4.688532E-02
