Data File Name,2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_09-47-46.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\bef\2012-01-05
Date Created,"Thursday, January 05, 2012 4:11:29 PM"
Date Last Modified,"Thursday, January 05, 2012 3:47:46 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Sample 9
Number of Events,1060
 
Time,Value
17,-1.40394E-03
17.05,3.481293E-04
17.1,2.998363E-03
17.15,-2.55455E-03
17.2,1.271571E-02
17.25,1.741601E-02
17.3,1.955612E-02
17.35,1.583951E-03
17.4,-0.0115259
17.45,-1.132855E-02
17.5,-3.613281E-02
17.55,-4.940895E-02
17.6,-1.990758E-02
17.65,-3.649902E-04
17.7,1.805344E-02
17.75,8.899689E-03
17.8,-7.292786E-03
17.85,-2.931385E-02
17.9,-4.672424E-02
17.95,-4.817361E-02
18,-3.456421E-02
18.05,-1.721756E-02
18.1,-2.261794E-02
18.15,-5.423996E-02
18.2,-6.481774E-02
18.25,-5.367851E-02
18.3,-3.235596E-02
18.35,-4.507375E-03
18.4,2.715881E-02
18.45,4.234423E-02
18.5,2.034159E-02
18.55,3.458786E-03
18.6,8.532952E-03
18.65,8.393173E-03
18.7,-6.45157E-03
18.75,1.017225E-03
18.8,0.0201857
18.85,1.207833E-02
18.9,4.262237E-03
18.95,1.451902E-02
19,0.0270105
19.05,2.883255E-02
19.1,2.768601E-02
19.15,3.013435E-02
19.2,-2.117392E-03
19.25,-4.382444E-02
19.3,-6.229889E-02
19.35,-6.713962E-02
19.4,-5.900288E-02
19.45,-4.215956E-02
19.5,-4.703149E-02
19.55,-0.0515017
19.6,-6.219164E-02
19.65,-6.090124E-02
19.7,-5.096196E-02
19.75,-3.692088E-02
19.8,-3.446808E-02
19.85,-0.0480334
19.9,-7.899968E-02
19.95,-7.606269E-02
20,-7.466125E-02
20.05,-6.986473E-02
20.1,-7.641219E-02
20.15,-6.032814E-02
20.2,-5.951064E-02
20.25,-4.412918E-02
20.3,-1.017639E-02
20.35,1.042397E-02
20.4,9.033966E-03
20.45,-2.100883E-02
20.5,-2.398808E-02
20.55,-2.020607E-02
