Data File Name,2100 expert_Eukaryote Total RNA Nano_DE34903936_2012-01-05_10-52-58.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\bef\2012-01-05
Date Created,"Thursday, January 05, 2012 4:52:58 PM"
Date Last Modified,"Thursday, January 05, 2012 5:16:02 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Sample 6
Number of Events,1060
 
Time,Value
17,-2.972221E-02
17.05,-2.530473E-02
17.1,-1.840957E-02
17.15,-3.984054E-03
17.2,4.729103E-03
17.25,-3.137806E-03
17.3,-8.468376E-03
17.35,-1.472916E-02
17.4,-2.791606E-02
17.45,-3.459295E-02
17.5,-2.657237E-02
17.55,-1.746663E-02
17.6,-2.551705E-02
17.65,-3.558827E-02
17.7,-3.875737E-02
17.75,-4.616743E-02
17.8,-4.310376E-02
17.85,-1.097798E-02
17.9,0.0202013
17.95,2.786683E-02
18,0.0279026
18.05,1.945011E-02
18.1,3.451834E-03
18.15,-1.324298E-02
18.2,-2.875266E-02
18.25,-3.327401E-02
18.3,-2.202491E-02
18.35,-1.749923E-02
18.4,-2.373019E-03
18.45,4.584732E-03
18.5,2.027221E-03
18.55,-1.753125E-02
18.6,-3.652679E-02
18.65,-1.936593E-02
18.7,9.73018E-03
18.75,2.883271E-02
18.8,3.340482E-02
18.85,2.592434E-02
18.9,8.741207E-03
18.95,-4.151533E-03
19,1.652562E-03
19.05,1.078445E-02
19.1,7.755642E-03
19.15,-5.67518E-03
19.2,-1.777454E-02
19.25,-2.401959E-02
19.3,-3.223823E-02
19.35,-1.603829E-02
19.4,7.999542E-03
19.45,6.744757E-03
19.5,-4.549026E-03
19.55,-0.0276117
19.6,-4.246058E-02
19.65,-4.344267E-02
19.7,-2.673742E-02
19.75,4.143079E-03
19.8,2.176567E-02
19.85,-4.773363E-03
19.9,-1.827491E-02
19.95,-0.0326387
20,-4.112868E-02
20.05,-3.867518E-02
20.1,-3.054927E-02
20.15,-8.980924E-03
20.2,-4.941641E-03
20.25,-9.875514E-04
20.3,8.468648E-03
20.35,3.35262E-03
20.4,5.397475E-03
20.45,3.410265E-02
20.5,0.1140626
20.55,0.2187808
20.6,0.3201533
20.65,0.3954282
20.7,0.4105125
20.75,0.3806995
20.8,0.3227981
20.85,0.2445854
20.9,0.1777113
20.95,0.1248525
21,7.769966E-02
21.05,3.768706E-02
21.1,2.061122E-02
21.15,9.57643E-03
21.2,0.0124585
21.25,1.368205E-02
21.3,2.930523E-02
21.35,2.041447E-02
21.4,3.781266E-03
21.45,-1.901455E-03
21.5,-3.39916E-03
21.55,9.169781E-03
21.6,1.088509E-02
21.65,1.713002E-03
21.7,-8.47781E-03
21.75,-1.908701E-02
21.8,-2.066399E-02
21.85,-1.555184E-02
21.9,3.2176E-04
21.95,1.503336E-03
22,4.107855E-04
22.05,1.676759E-03
22.1,-1.223235E-03
22.15,-1.476062E-02
22.2,7.865804E-03
22.25,0.24989
22.3,0.9077937
22.35,2.072735
22.4,3.561234
22.45,4.878271
22.5,5.518482
22.55,5.187687
22.6,4.087222
22.65,2.683403
22.7,1.456144
22.75,0.6571169
22.8,0.2587209
22.85,0.1037485
22.9,6.389032E-02
22.95,5.486844E-02
23,2.201841E-02
23.05,4.568288E-03
23.1,6.029621E-03
23.15,1.473328E-02
23.2,1.160271E-02
23.25,6.125641E-03
23.3,3.477806E-03
23.35,-0.018551
23.4,-2.494461E-02
23.45,-8.245827E-03
23.5,2.109634E-02
23.55,3.894298E-02
23.6,4.829828E-02
23.65,5.708029E-02
23.7,4.880254E-02
23.75,4.784077E-02
23.8,4.393714E-02
23.85,4.288043E-02
23.9,5.209412E-02
23.95,5.087282E-02
24,3.362083E-02
24.05,2.834162E-02
24.1,2.071863E-02
24.15,2.418669E-02
24.2,2.292546E-02
24.25,3.808276E-02
24.3,4.780346E-02
24.35,4.618024E-02
24.4,5.124094E-02
24.45,3.990779E-02
24.5,2.734885E-02
24.55,3.026283E-02
24.6,4.347835E-02
24.65,5.900102E-02
24.7,6.754798E-02
24.75,7.962824E-02
24.8,7.692587E-02
24.85,6.656795E-02
24.9,6.735577E-02
24.95,7.191967E-02
25,6.474732E-02
25.05,7.233065E-02
25.1,9.265888E-02
25.15,8.695577E-02
25.2,7.196228E-02
25.25,6.087042E-02
25.3,6.685279E-02
25.35,7.107097E-02
25.4,8.750413E-02
25.45,0.1144246
25.5,0.1361771
25.55,0.1168169
25.6,0.1045155
25.65,9.942654E-02
25.7,0.118653
25.75,0.1290655
25.8,0.1436791
25.85,0.1469943
25.9,0.1382374
25.95,0.1119165
26,8.754947E-02
26.05,7.969768E-02
26.1,8.571867E-02
26.15,8.614513E-02
26.2,7.592592E-02
26.25,6.845465E-02
26.3,6.146741E-02
26.35,4.512214E-02
26.4,4.706016E-02
26.45,7.048663E-02
26.5,0.0923776
26.55,9.894753E-02
26.6,0.1060692
26.65,0.1242845
26.7,0.1442797
26.75,0.1736579
26.8,0.2295373
26.85,0.2718142
26.9,0.2785851
26.95,0.2711139
27,0.262579
27.05,0.236179
27.1,0.2085811
27.15,0.1980627
27.2,0.1823852
27.25,0.1484451
27.3,0.1315784
27.35,0.1833354
27.4,0.3102011
27.45,0.5858459
27.5,1.020085
27.55,1.514207
27.6,1.914986
27.65,2.099329
27.7,2.023891
27.75,1.725353
27.8,1.326979
27.85,0.9514086
27.9,0.6686696
27.95,0.4805458
28,0.3594392
28.05,0.3020785
28.1,0.2931877
28.15,0.3016789
28.2,0.3208812
28.25,0.3484105
28.3,0.3814482
28.35,0.3896238
28.4,0.3991831
28.45,0.4084112
28.5,0.3866062
28.55,0.3524228
28.6,0.3354465
28.65,0.3015274
28.7,0.2534464
28.75,0.1932924
28.8,0.1504873
28.85,0.1242981
28.9,0.1101817
28.95,0.1134895
29,0.1165146
29.05,0.1090545
29.1,0.1015254
29.15,0.1043625
29.2,0.1111391
29.25,0.1059589
29.3,0.1148195
29.35,0.1496892
29.4,0.200861
29.45,0.2631384
29.5,0.3240733
29.55,0.383303
29.6,0.4089828
29.65,0.4131996
29.7,0.4041122
29.75,0.3700988
29.8,0.3167266
29.85,0.2711533
29.9,0.242647
29.95,0.2114197
30,0.1771488
30.05,0.1607199
30.1,0.1455556
30.15,0.128664
30.2,0.1301068
30.25,0.1283849
30.3,0.1279884
30.35,0.1335513
30.4,0.1608821
30.45,0.1899204
30.5,0.2170072
30.55,0.2301841
30.6,0.2144808
30.65,0.1699627
30.7,0.1292973
30.75,0.1261782
30.8,0.1607123
30.85,0.1851597
30.9,0.1824991
30.95,0.163595
31,0.1344715
31.05,0.1036277
31.1,9.554142E-02
31.15,0.1014379
31.2,0.1061452
31.25,0.1084945
31.3,0.1358067
31.35,0.1676012
31.4,0.1890148
31.45,0.1826471
31.5,0.1593208
31.55,0.1371617
31.6,0.1234471
31.65,0.1160238
31.7,0.1112057
31.75,0.129384
31.8,0.1439264
31.85,0.1479497
31.9,0.156908
31.95,0.1826915
32,0.2059289
32.05,0.2272009
32.1,0.2374206
32.15,0.2360832
32.2,0.2226766
32.25,0.2041416
32.3,0.1800692
32.35,0.1649197
32.4,0.1561047
32.45,0.1523956
32.5,0.1661263
32.55,0.1962123
32.6,0.2532564
32.65,0.3253661
32.7,0.392336
32.75,0.4308549
32.8,0.4232403
32.85,0.3557484
32.9,0.2821833
32.95,0.1985911
33,0.150444
33.05,0.1387626
33.1,0.1400498
33.15,0.1597775
33.2,0.1723831
33.25,0.176905
33.3,0.1832933
33.35,0.1693048
33.4,0.1696148
33.45,0.1807703
33.5,0.1881332
33.55,0.199484
33.6,0.2046825
33.65,0.2045672
33.7,0.1868407
33.75,0.1634731
33.8,0.161168
33.85,0.1520673
33.9,0.1512466
33.95,0.1697547
34,0.1951403
34.05,0.2232918
34.1,0.2529465
34.15,0.2784968
34.2,0.2849866
34.25,0.247641
34.3,0.2208416
34.35,0.1962257
34.4,0.1908246
34.45,0.2206682
34.5,0.2692146
34.55,0.3062522
34.6,0.3448567
34.65,0.3336581
34.7,0.3301491
34.75,0.3181893
34.8,0.3066943
34.85,0.3024973
34.9,0.3026552
34.95,0.2998773
35,0.2795391
35.05,0.2640273
35.1,0.2670341
35.15,0.2634082
35.2,0.2703626
35.25,0.2906666
35.3,0.3206742
35.35,0.3339231
35.4,0.3429701
35.45,0.3674017
35.5,0.380679
35.55,0.4299273
35.6,0.6164426
35.65,0.8573138
35.7,0.9874071
35.75,0.9391008
35.8,0.7836821
35.85,0.5790396
35.9,0.424894
35.95,0.3985943
36,0.4531422
36.05,0.4542651
36.1,0.4244011
36.15,0.3698665
36.2,0.3304854
36.25,0.324715
36.3,0.3223146
36.35,0.3101698
36.4,0.3032855
36.45,0.3060017
36.5,0.3073222
36.55,0.3188575
36.6,0.351508
36.65,0.3779699
36.7,0.403678
36.75,0.4404411
36.8,0.4665946
36.85,0.4765098
36.9,0.4674633
36.95,0.4474318
37,0.4242738
37.05,0.3968538
37.1,0.3878835
37.15,0.3920839
37.2,0.4059492
37.25,0.4069633
37.3,0.4038421
37.35,0.4223537
37.4,0.4350039
37.45,0.4495121
37.5,0.4805927
37.55,0.4908731
37.6,0.4851867
37.65,0.4695076
37.7,0.4617819
37.75,0.4830202
37.8,0.5018555
37.85,0.5233564
37.9,0.5252817
37.95,0.5113962
38,0.5017751
38.05,0.4854867
38.1,0.483781
38.15,0.498031
38.2,0.5279546
38.25,0.588974
38.3,0.675221
38.35,0.772489
38.4,0.8558787
38.45,0.902009
38.5,0.8857799
38.55,0.8491452
38.6,0.8287413
38.65,0.8246385
38.7,0.8635365
38.75,0.9278643
38.8,0.9800503
38.85,0.9843801
38.9,0.952237
38.95,0.9284056
39,0.8837624
39.05,0.8350215
39.1,0.8203723
